name,docket,claim
Summers v. Earth Island Institute,07-463,Companies do not have to sell products to competitors unless a specific law requires it.
Summers v. Earth Island Institute,07-463,A 'price squeezing' claim under antitrust laws is not valid if the company had no duty to sell to the plaintiff.
Summers v. Earth Island Institute,07-463,"Selling products below cost to drive competitors out of business is illegal under antitrust laws, but this is a different issue than 'price squeezing'."
Citizens United v. Federal Election Commission,08-205,The Double Jeopardy Clause only stops the government from trying someone again after they have been found not guilty of a crime.
Citizens United v. Federal Election Commission,08-205,Facts considered during sentencing do not trigger Double Jeopardy protections because they are separate from the determination of guilt.
Citizens United v. Federal Election Commission,08-205,"The government can re-examine facts used in sentencing even if those facts were previously decided, as long as there was no prior acquittal of the crime."
Vaden v. Discover Bank,07-773,Prosecutors cannot be sued for decisions made during a trial about what information to share with the defense regarding witnesses.
Vaden v. Discover Bank,07-773,Prosecutors can be sued for administrative tasks such as managing office records.
Vaden v. Discover Bank,07-773,Prosecutors are protected from lawsuits for actions taken as part of their role in presenting a case in court.
Pacific Bell Telephone Co. v. LinkLine Communications,07-512,The government does not need to prove additional connections between criminal groups beyond what is obvious from their shared criminal activity.
Pacific Bell Telephone Co. v. LinkLine Communications,07-512,The evidence of the crime itself shows how the groups are structured together.
Pacific Bell Telephone Co. v. LinkLine Communications,07-512,Juries do not need special instructions explaining how to determine if criminal groups have a structure.
Pacific Bell Telephone Co. v. LinkLine Communications,07-512,"When groups commit crimes together, the structure of their association is part of proving the crime and doesn't require separate evidence."
Bobby v. Bies,08-598,Prosecutors must share evidence that could change the outcome of a trial or sentencing.
Bobby v. Bies,08-598,A person's request for federal court review of their state conviction is not blocked if they never raised it in state court.
Bobby v. Bies,08-598,Federal courts can review a person's claim about hidden evidence when state courts never looked at it.
Van de Kamp v. Goldstein,07-854,A court-appointed lawyer is assigned automatically; the defendant does not need to do anything to accept the appointment.
Van de Kamp v. Goldstein,07-854,"Police can question a person even after a lawyer has been appointed for them, as long as the person has not asked for a lawyer during questioning."
Van de Kamp v. Goldstein,07-854,"To stop police from questioning, a person must specifically request a lawyer during the questioning; having a lawyer appointed by the court does not automatically prevent questioning."
Boyle v. United States,07-1309,The Clean Water Act allows the EPA to weigh costs against environmental benefits when setting standards for cooling water intake structures.
Boyle v. United States,07-1309,Federal law does not require the EPA to use the most advanced technology without considering costs for cooling water intake structures.
Boyle v. United States,07-1309,The EPA can decide how much environmental harm to reduce based on the costs involved.
Cone v. Bell,07-1114,Evidence found during a search based on a warrant that was mistakenly kept active due to a simple police error can be used in court.
Cone v. Bell,07-1114,"If police make a one-time mistake that was not intentional, the evidence from the search is allowed in court."
Cone v. Bell,07-1114,The law does not require throwing out evidence when police errors are accidental and not part of a larger pattern of mistakes.
Montejo v. Louisiana,07-1529,Whether a state law claim about false advertising is blocked by federal law does not depend on whether the false statement was direct or indirect.
Montejo v. Louisiana,07-1529,State laws that require truthful advertising are not blocked by federal regulations unless they conflict with federal requirements.
Montejo v. Louisiana,07-1529,Companies can be held responsible under state law for false claims about their products even when federal regulations cover the same product.
"Entergy Corp. v. Riverkeeper, Inc.",07-588,Governments can choose not to allow payroll deductions for political contributions without violating the First Amendment.
